,balance,equity,balance_btc,equity_btc
759660,2231.3093862151864,2231.011184905586,0.0,-0.3066159999999971
759720,2231.5413172253866,2231.4408782151863,0.0,0.13149200000000422
759780,2231.7097461713865,2231.4835292253865,0.0,-0.05778799999999225
759840,2231.7491311163867,2231.7253481713865,0.0,0.01560199999999988
759900,2231.7475483963867,2231.7478111163864,0.0,-0.0013199999999994952
759960,2231.7922723971865,2231.625398396387,0.0,-0.12215000000000012
760020,2231.7912508431864,2231.6918953971863,0.0,-0.10037699999999855
760080,2231.8680501171866,2231.5562968431864,0.0,-0.23495399999999886
760140,2231.8868743651865,2231.869731117187,0.0,0.0016810000000002379
760200,2231.9248236471867,2231.9086983651864,0.0,0.021824000000001908
760260,2231.9700138071867,2231.9730756471868,0.0,0.04825199999999952
760320,2231.967392099187,2231.9585088071867,0.0,-0.011504999999999321
760380,2231.9653340611867,2231.764032099187,0.0,-0.20335999999999793
760440,2231.957004154387,2231.6058210611864,0.0,-0.35951299999999736
760500,2231.944486912987,2231.5449181543872,0.0,-0.41208599999999473
760560,2231.940769352987,2229.0688333529874,0.0,-2.8719359999999887
760620,2231.940769352987,2229.5503713529874,0.0,-2.39039799999999
760680,2231.940769352987,2231.451103352987,0.0,-0.48966599999997684
760740,2231.940769352987,2230.570533352987,0.0,-1.3702359999999856
760800,2231.940769352987,2230.844069352987,0.0,-1.0966999999999816
760860,2231.940769352987,2231.296507352987,0.0,-0.6442619999999853
760920,2231.940769352987,2230.7522373529873,0.0,-1.1885319999999755
760980,2231.940769352987,2230.379149352987,0.0,-1.5616199999999805
761040,2231.940769352987,2229.299409352987,0.0,-2.6413599999999824
761100,2231.940769352987,2229.290459352987,0.0,-2.6503099999999833
761160,2231.940769352987,2230.108235352987,0.0,-1.8325339999999861
761220,2231.935113452987,2228.801839352987,0.0,-3.1389299999999802
761280,2231.917306852987,2226.6767294529873,0.0,-5.258383999999984
761340,2231.917306852987,2225.003798852987,0.0,-6.913507999999991
761400,2231.917306852987,2222.288708852987,0.0,-9.62859799999999
761460,2231.917306852987,2225.264832852987,0.0,-6.652474000000016
761520,2232.1775721169874,2223.9876128529872,0.0,-7.929694000000006
761580,2232.1701305949878,2223.6776901169874,0.0,-8.499882000000017
761640,2232.338978658988,2221.7078785949875,0.0,-10.462252000000017
761700,2232.395240898988,2224.086912658988,0.0,-8.252066000000005
761760,2232.415208778988,2224.752082898988,0.0,-7.64315800000001
761820,2232.414179118988,2227.656174778988,0.0,-4.75903400000001
761880,2232.413130512988,2226.759525118988,0.0,-5.6546540000000105
761940,2232.411019634988,2226.966876512988,0.0,-5.446254000000008
762000,2232.411019634988,2224.506005634988,0.0,-7.90501400000001
762060,2232.492955458988,2222.858823634988,0.0,-9.552196000000006
762120,2232.530559558988,2225.546553458988,0.0,-6.946402000000005
762180,2232.5684464389883,2227.560487358988,0.0,-4.99004200000001
762240,2232.5674011809883,2225.987724438988,0.0,-6.58072200000001
762300,2232.5510380153883,2223.3880951809883,0.0,-9.179305999999995
762360,2232.5510380153883,2223.5247280153885,0.0,-9.026309999999999
762420,2232.5510380153883,2221.4001640153883,0.0,-11.150874000000005
762480,2232.5510380153883,2222.5656540153886,0.0,-9.985383999999994
762540,2232.5475123013885,2222.2369360153884,0.0,-10.314101999999984
762600,2232.5256409413882,2218.5696903013886,0.0,-13.977822000000007
762660,2232.5256409413882,2214.2993179413884,0.0,-18.226322999999972
762720,2232.5256409413882,2216.1305079413883,0.0,-16.39513300000001
762780,2232.5256409413882,2217.024033941388,0.0,-15.50160700000001
762840,2232.5256409413882,2211.9969419413883,0.0,-20.52869899999998
762900,2232.5256409413882,2214.0413159413883,0.0,-18.48432500000002
762960,2232.5256409413882,2217.5792869413885,0.0,-14.946354000000028
763020,2232.7872322473877,2217.311194941388,0.0,-15.214445999999976
763080,2234.3377567673874,2229.433889247388,0.0,-3.353342999999999
763140,2234.3377567673874,2231.185829767387,0.0,-3.151926999999995
763200,2234.3360043673874,2230.4166697673872,0.0,-3.9210869999999804
763260,2234.3872413673876,2229.6887773673875,0.0,-4.647226999999985
763320,2234.4072859053877,2230.814259367388,0.0,-3.5729819999999863
763380,2234.5117803433873,2230.9019019053876,0.0,-3.505383999999981
763440,2234.563510843387,2228.881858343387,0.0,-5.629921999999987
763500,2234.580764407387,2228.9854478433867,0.0,-5.5780629999999904
763560,2234.599775219387,2229.489396407387,0.0,-5.091367999999988
763620,2234.583925123387,2228.522248219387,0.0,-6.0775269999999795
763680,2234.583925123387,2225.617116123387,0.0,-8.966808999999989
763740,2234.984024523387,2225.7285851233873,0.0,-8.855339999999988
763800,2234.982315023387,2227.5552665233868,0.0,-7.42875799999998
763860,2235.260246569387,2227.247293023387,0.0,-7.735021999999985
763920,2235.2949411753875,2229.147196235387,0.0,-6.112029999999986
763980,2235.3626930593873,2228.9839661753876,0.0,-6.310974999999988
764040,2235.433505795387,2229.9869320593875,0.0,-5.375760999999987
764100,2235.430748097387,2231.5293867953874,0.0,-3.9041189999999895
764160,2235.4297055373872,2230.070132097387,0.0,-5.360615999999983
764220,2235.4877905013873,2230.541080537387,0.0,-4.888624999999984
764280,2235.4877905013873,2230.4547135013872,0.0,-5.03307699999999
764340,2235.4867485173872,2230.153176501387,0.0,-5.334613999999981
764400,2235.482274901387,2229.3939155173875,0.0,-6.092832999999982
764460,2235.476396101387,2229.141850901387,0.0,-6.340423999999994
764520,2235.5774280373867,2227.5903921013874,0.0,-7.886003999999993
764580,2235.5763922613864,2227.999356037387,0.0,-7.578071999999991
764640,2235.6151342113867,2226.7989472613863,0.0,-8.777444999999982
764700,2235.6151342113867,2226.9745982113864,0.0,-8.640535999999985
764760,2235.6151342113867,2227.2697802113867,0.0,-8.345353999999979
764820,2235.6536106673866,2228.6382642113867,0.0,-6.976869999999988
764880,2235.652590891387,2229.170497667387,0.0,-6.483112999999987
764940,2235.652590891387,2229.5479398913867,0.0,-6.1046509999999845
765000,2235.9514726913867,2229.352424891387,0.0,-6.300165999999974
765060,2235.9514726913867,2230.145369691387,0.0,-5.806102999999981
765120,2235.949813591387,2230.0927566913865,0.0,-5.858715999999992
765180,2236.0458124913866,2230.4600415913865,0.0,-5.489771999999988
765240,2236.0441473913866,2230.6987254913865,0.0,-5.347086999999986
765300,2236.0913054913867,2231.0653393913867,0.0,-4.978807999999989
765360,2236.0913054913867,2230.5788104913872,0.0,-5.512494999999989
765420,2236.1785947313865,2230.110548491387,0.0,-5.980756999999981
765480,2236.1785947313865,2231.4066407313867,0.0,-4.771953999999979
765540,2236.1785947313865,2233.6723937313864,0.0,-2.506200999999991
765600,2236.197615215386,2234.6434307313866,0.0,-1.5351639999999802
765660,2236.196587131386,2234.174587215386,0.0,-2.02302799999998
765720,2236.196587131386,2232.7357561313856,0.0,-3.4608309999999856
765780,2236.196587131386,2232.211809131386,0.0,-3.9847779999999826
765840,2236.193841243386,2233.1003731313863,0.0,-3.0962139999999825
765900,2236.175872771386,2231.7467632433863,0.0,-4.447077999999986
765960,2237.0415691913863,2220.4645217713855,0.0,-15.71135099999998
766020,2237.039417251386,2226.3221041913866,0.0,-10.719464999999971
766080,2237.039417251386,2223.022895251386,0.0,-14.01652199999998
766140,2237.034018331386,2224.4601062513857,0.0,-12.579310999999976
766200,2237.034018331386,2216.6418463313858,0.0,-20.39217199999998
766260,2237.015789911386,2218.081963331386,0.0,-18.952054999999973
766320,2237.9035893713863,2216.655123911386,0.0,-20.36066599999997
766380,2237.9035893713863,2219.2601223713864,0.0,-18.643466999999973
766440,2237.9035893713863,2219.2803933713863,0.0,-18.623195999999982
766500,2238.002887411386,2218.4151083713864,0.0,-19.488480999999982
766560,2238.002887411386,2220.036515411386,0.0,-17.96637199999998
766620,2238.002887411386,2220.7606894113856,0.0,-17.242197999999984
766680,2238.002887411386,2219.649313411386,0.0,-18.35357399999998
766740,2238.002887411386,2220.1958624113854,0.0,-17.807024999999985
766800,2238.303557631386,2219.302067411386,0.0,-18.700819999999986
766860,2238.3517403913856,2215.2725306313864,0.0,-23.031026999999977
766920,2238.3517403913856,2216.489819391386,0.0,-21.86192099999998
766980,2238.4016239113857,2214.4578943913853,0.0,-23.893845999999982
767040,2238.399910071386,2216.878901911386,0.0,-21.522721999999977
767100,2238.3974253513857,2216.964166071386,0.0,-21.43574399999997
767160,2238.3974253513857,2216.056800351386,0.0,-22.34062499999998
767220,2238.3974253513857,2215.7806343513853,0.0,-22.616790999999985
767280,2238.3915082313856,2214.8910993513855,0.0,-23.50632599999997
767340,2238.3521308913855,2213.979271231385,0.0,-24.41223699999998
767400,2240.203058011385,2203.8745488913855,0.0,-34.477582000000034
767460,2240.2932546913853,2203.7186220113854,0.0,-36.48443599999998
767520,2240.520264931385,2202.1016606913854,0.0,-38.191593999999974
767580,2240.6126600113853,2201.8086389313853,0.0,-38.71162599999999
767640,2240.611059931385,2203.5209920113853,0.0,-37.09166799999997
767700,2240.608739551385,2204.0511459313852,0.0,-36.55991399999999
767760,2240.603210951385,2201.4166575513855,0.0,-39.19208199999999
767820,2240.5852777913847,2199.365417951385,0.0,-41.23779299999998
767880,2240.5852777913847,2190.937589791385,0.0,-49.64768799999997
767940,2240.563466591385,2180.2622017913845,0.0,-60.323075999999986
768000,2240.555684830585,2169.5728315913852,0.0,-70.990635
768060,2240.515299530585,2171.620750830585,0.0,-68.934934
768120,2240.4968099377847,2149.969875530585,0.0,-90.54542399999994
768180,2240.4968099377847,2181.094503937785,0.0,-59.402305999999996
768240,2242.300571720316,2178.4883859377846,0.0,-62.008424
768300,2254.6923966611935,2211.4296497813843,0.0,-30.870921938931296
768360,2254.734945001193,2209.5139758433847,0.0,-45.178420817808636
768420,2254.734945001193,2191.7139461833845,0.0,-63.02099881780863
768480,2255.1962899931923,2177.3921521833845,0.0,-77.34279281780866
768540,2255.2878487331923,2199.582632055384,0.0,-55.66104681780865
768600,2255.3793847931925,2183.966119915384,0.0,-71.32172881780875
768660,2255.4709130131923,2188.504837975384,0.0,-66.87454681780873
768720,2252.288936099864,2185.394304195384,0.0,-70.07660881780869
768780,2252.288936099864,2203.4538801739845,0.0,-48.835055925879495
768840,2252.2873106998636,2212.608299173984,0.0,-39.68063692587951
768900,2252.3969672598637,2200.642104773984,0.0,-51.645205925879495
768960,2251.4891048131994,2217.090771333984,0.0,-35.30619592587952
769020,2253.669013274991,2260.0907686135843,0.0,8.601663800385161
769080,2255.6628216607846,2258.6408656545846,0.0,4.971852379593728
769140,2255.7115612607845,2247.3713716607845,0.0,-8.291449999999937
769200,2255.7586511007844,2250.6611812607844,0.0,-5.050379999999942
769260,2255.8528170607847,2252.2259411007844,0.0,-3.532709999999962
769320,2255.8511636607846,2256.9212970607846,0.0,1.068480000000093
769380,2255.8999001807847,2254.958603660785,0.0,-0.8925599999999326
769440,2255.9940594207847,2258.5101401807847,0.0,2.610240000000097
769500,2255.9940594207847,2259.8569794207847,0.0,3.8629200000000794
769560,2255.9940594207847,2263.9281894207847,0.0,7.9341300000000725
769620,2255.9923830607845,2262.0973494207847,0.0,6.1032900000000465
769680,2255.9923830607845,2256.1860930607845,0.0,0.1937100000000998
769740,2256.0417964807843,2255.918133060785,0.0,-0.07424999999990303
769800,2256.546978402585,2264.216826480784,0.0,8.175030000000046
769860,2256.738883324584,2253.076765402585,0.0,-3.470212999999932
769920,2256.777122155384,2252.5744213245844,0.0,-4.164461999999938
769980,2257.170954968385,2253.314584155384,0.0,-3.462537999999926
770040,2257.162848502985,2258.454084968385,0.0,1.28313000000009
770100,2257.262658261385,2254.6672615029847,0.0,-2.4955869999999467
770160,2257.7782180855847,2251.505733261385,0.0,-5.75692499999989
770220,2257.8163975435846,2256.3041200855846,0.0,-1.4740979999999326
770280,2257.953540455385,2254.7551045435844,0.0,-3.0612929999999317
770340,2258.1893430337846,2257.421158455385,0.0,-0.532381999999907
770400,2258.1877566937846,2265.0876030337845,0.0,6.89826000000004
770460,2258.1866085025845,2261.598156693785,0.0,3.4104000000000476
770520,2258.222699077184,2260.7248395025845,0.0,2.5382310000000596
770580,2258.362921585584,2256.9912290771845,0.0,-1.2314699999999072
770640,2258.350528792184,2261.023381585584,0.0,2.6604600000000893
770700,2258.350528792184,2254.392241792184,0.0,-3.958286999999947
770760,2258.585807400584,2253.523111792184,0.0,-4.827416999999917
770820,2258.5613402109843,2252.3621334005843,0.0,-6.22367399999989
770880,2258.7943353031847,2243.669849210984,0.0,-14.891490999999956
770940,2258.7901304149846,2246.8042733031853,0.0,-11.99006199999993
771000,2258.7574437725843,2235.432464414984,0.0,-23.357665999999934
771060,2259.4497799539845,2216.1479067725845,0.0,-42.60953699999991
